"etnia","partidos","idade_recod","escolaridade","renda","temp_fil","horas","inf_part","inf_pais","inf_voto","mot_cand","mot_asso","mot_amiz","mot_carg","mot_cesp","mot_convic","mot_conviv","mot_emp","mot_opos","mot_reli","mot_trad","pos_ideol","pos_ideol_part","Part_rej","Part_tol","atvc_reuniao","atvc_comicio","atvc_convencao","atvc_eldir","atvc_panfl","atvc_adm","atvc_recrt","atvc_del","atvc_cand","atvc_internet","atvc_rua","estado"
"72",0,"PSB",40,1,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"73",0,"PP",50,1,NA,23,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,NA,21
"74",0,"PRTB",48,1,3,31,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,4,"10","PT","1",NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,9
"75",1,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1,"PTB",65,1,3,38,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,6,"6","PT","1","1",NA,"1","1",NA,"1","1","1","1",NA,"1",4
"77",1,"MDB",27,1,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"78",1,"PP",63,1,2,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,"9","PT","1","1","1","1",NA,NA,NA,"1",NA,"1",NA,"1",25
"79",0,"PSB",41,0,1,12,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,5,"5",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,14
"80",0,"PT",62,1,1,43,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,"1",NA,"1","1","1","1","1","1","1","1",NA,"1","1","1",6
"81",0,"PSB",52,1,NA,28,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"82",1,"REPUBLICANOS",44,1,1,24,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,5,"2",NA,"1","1","1","1","1",NA,NA,NA,"1","1","1",NA,18
"83",0,"PV",50,0,NA,NA,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,"1","1",NA,NA,NA,22
"84",1,"PTB",65,0,NA,38,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"85",1,"PATRIOTA",57,0,NA,23,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","1",NA,NA,"1",NA,16
"86",1,"PODE",38,1,3,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,"7","PT","1","1","1","1",NA,"1",NA,"1",NA,"1","1",NA,13
"87",1,NA,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1,NA,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"89",1,"PSC",45,1,1,25,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,8,"6","PT","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,24
"90",0,NA,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1,"PSB",31,1,NA,9,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1",5
"92",0,"PSB",34,0,NA,4,1,0,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,7,"7","PT","1","1","1",NA,"1","1",NA,NA,"1",NA,NA,"1",13
"93",1,"PSOL",36,1,1,7,0,NA,0,0,1,1,1,0,1,1,1,0,0,0,1,1,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,"1","1","1",25
"94",1,"PT",46,1,1,27,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,"1",NA,"1","1","1","1","1","1",NA,"1","1","1",NA,"1",9
"95",1,"DC",39,1,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"96",1,"SOLIDARIEDADE",47,0,1,16,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,6,"3",NA,"2","1","1","1","1","1",NA,"1",NA,"1",NA,"1",19
"97",0,"PCdoB",54,0,NA,9,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,5
"98",1,NA,64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"99",1,"DEM",61,0,3,11,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,8,"8",NA,"2","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,26
"100",0,"PDT",64,1,1,43,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,4,"2",NA,"3","1",NA,"1","1",NA,NA,NA,NA,"1",NA,"1",25
"101",0,"PP",45,0,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"102",1,"PV",71,1,NA,30,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
